timestamp,nearest_sensor,nearest_sensor_dist,rf_confidence,rf_is_threat,audio_mambo,audio_bebop,audio_background,audio_is_threat,visual_confidence,visual_is_threat,label,sensor_0_threat_conf,sensor_0_friendly_conf,sensor_1_threat_conf,sensor_1_friendly_conf,sensor_2_threat_conf,sensor_2_friendly_conf,sensor_3_threat_conf,sensor_3_friendly_conf,sensor_4_threat_conf,sensor_4_friendly_conf,sensor_5_threat_conf,sensor_5_friendly_conf,sensor_6_threat_conf,sensor_6_friendly_conf,sensor_7_threat_conf,sensor_7_friendly_conf,sensor_8_threat_conf,sensor_8_friendly_conf,sensor_9_threat_conf,sensor_9_friendly_conf,sensor_10_threat_conf,sensor_10_friendly_conf,sensor_11_threat_conf,sensor_11_friendly_conf,sensor_12_threat_conf,sensor_12_friendly_conf,sensor_13_threat_conf,sensor_13_friendly_conf,sensor_14_threat_conf,sensor_14_friendly_conf,sensor_15_threat_conf,sensor_15_friendly_conf,sensor_16_threat_conf,sensor_16_friendly_conf,sensor_17_threat_conf,sensor_17_friendly_conf,sensor_18_threat_conf,sensor_18_friendly_conf,sensor_19_threat_conf,sensor_19_friendly_conf,sensor_20_threat_conf,sensor_20_friendly_conf,sensor_21_threat_conf,sensor_21_friendly_conf,sensor_22_threat_conf,sensor_22_friendly_conf
1780929639.332677,13,75.76938695805846,4.3478260869565215,True,2.1019476964872256e-42,0.0,100.0,False,0.10239449329674244,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10570017248392105,0.8942998647689819,0.7435333728790283,0.25646665692329407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929639.332677,13,75.76938695805846,4.3478260869565215,True,2.1019476964872256e-42,0.0,100.0,False,0.10239449329674244,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10570017248392105,0.8942998647689819,0.7435333728790283,0.25646665692329407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929639.954357,13,75.27283706623525,0.0,False,0.0,0.0,100.0,False,0.005247482840786688,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051577769219875336,0.9484222531318665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929639.954357,13,75.27283706623525,0.0,False,0.0,0.0,100.0,False,0.005247482840786688,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051577769219875336,0.9484222531318665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929640.5942702,11,91.54780172128658,4.3478260869565215,True,5.605193857299268e-43,0.0,100.0,False,0.10239449329674244,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7416126132011414,0.25838738679885864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929640.5942702,11,91.54780172128658,4.3478260869565215,True,5.605193857299268e-43,0.0,100.0,False,0.10239449329674244,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7416126132011414,0.25838738679885864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929641.2237756,13,84.1486779456457,0.0,False,2.802596928649634e-43,0.0,100.0,False,0.028793801902793348,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929641.2237756,13,84.1486779456457,0.0,False,2.802596928649634e-43,0.0,100.0,False,0.028793801902793348,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929641.8450117,13,79.05694150420949,0.0,False,2.802596928649634e-43,0.0,100.0,False,0.001503142721048789,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12864552438259125,0.8713544607162476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929641.8450117,13,79.05694150420949,0.0,False,2.802596928649634e-43,0.0,100.0,False,0.001503142721048789,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12864552438259125,0.8713544607162476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
